"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01419",2.19690512394168,1.48218893381031,5.99531235881365,1.44321091048179e-08,2.53590653275121e-07,8.18456381463725
"AL365181.3",2.08427761898403,2.0407792257964,8.12398126606294,1.51346754101423e-13,6.35581070333388e-12,19.490871992455
"AC079466.1",2.0097649474524,1.54473562303894,6.00729359799356,1.35979445422664e-08,2.41134978742165e-07,8.2428953441353
"AL136372.2",1.87977965074461,1.4432047088397,5.97592005887356,1.58897871530873e-08,2.75978792920185e-07,8.09030268049091
"LINC02365",1.8454923907939,1.53686115470085,6.82231513469193,2.04342766848269e-10,4.96762156735661e-09,12.3679958250467
"AL162413.1",1.82945422732824,1.27749607038889,5.89230319596729,2.40114428727169e-08,4.04148732380066e-07,7.68602858629935
"GAS5",1.81215118964954,5.2111215673383,12.1562762822192,4.02278495163914e-24,7.54585061706355e-22,43.7233489321972
"AL590550.1",1.73738042595748,1.33561329161144,6.43261165121925,1.57513965531119e-09,3.24682633222998e-08,10.3583180455893
"AP006222.2",1.73038620818745,1.19490169822674,6.84026511116435,1.85728747152324e-10,4.58010755615966e-09,12.4620935250342
"AC092535.5",1.52806945782594,3.20445632575073,7.60543500458667,2.84821531117339e-12,9.59751913836908e-11,16.5859525308006
"ST8SIA6-AS1",1.47681610616726,1.12873634355611,6.87810652869711,1.5179544321755e-10,3.79084418993889e-09,12.6608908825681
"ZFPM2-AS1",1.47405068550954,1.26805002064595,6.46964307810403,1.30073944237511e-09,2.73122926196227e-08,10.5464651697678
"LNCAROD",1.44661548587948,1.33090667339878,7.36319648084263,1.09193675759396e-11,3.41371784105577e-10,15.2578041448377
"AL590666.2",1.44353289583048,1.48557725088932,7.7570772953207,1.21687720570677e-12,4.32490968141929e-11,17.4271010182817
"FOXD2-AS1",1.39497191433699,1.92813407882676,11.6795294085542,7.63589382977965e-23,1.17190145122127e-20,40.7865685050474
"SNHG6",1.37271188228156,5.74524707868331,9.78542310118906,8.31570052114669e-18,6.29532090573984e-16,29.2312485374279
"HAGLR",1.36608603865695,1.00597562228926,6.79232971236101,2.39625307065875e-10,5.7626131536839e-09,12.2110968565058
"SNHG3",1.31808326434327,2.52338775508423,8.67609089939179,6.16793889779894e-15,3.1843163447291e-13,22.6640516585519
"AL353807.5",1.31749017781517,1.90091849731444,8.31783734235986,4.96027615826735e-14,2.22711122616674e-12,20.5963728383136
"SNHG1",1.30870925355381,3.2106689262911,10.6985855325135,3.19715600649508e-20,3.45989664754166e-18,34.7679212880119
"AC026740.1",1.30637563959136,1.55711800693307,7.69698806561499,1.70587815886434e-12,6.01224114362167e-11,17.092925765683
"MAFG-DT",1.30273916476198,1.50584925465519,9.13028908661959,4.2247532648994e-16,2.52217582154995e-14,25.326089249597
"AC010719.1",1.29481535081074,1.64295899269174,9.52393368767523,4.01854899104658e-17,2.85046823810287e-15,27.6644071573405
"AC011445.1",1.27158732762433,1.95212395087866,6.92557464344279,1.17765517332931e-10,3.02145511187619e-09,12.9110678411587
"CASC9",1.26012172212776,1.18636649803486,5.76805364043938,4.40704793099646e-08,6.96627183249834e-07,7.09191310770687
"SNHG25",1.25442749473447,2.42994298832504,6.8495221344591,1.767936021235e-10,4.3827159927297e-09,12.5106716207636
"LINC01436",1.24719252048417,1.21007288317397,4.80219491632171,3.75407237847502e-06,4.05737835425194e-05,2.76741644926327
"LINC00853",1.24062490821026,1.83229231948735,8.8928237685062,1.7245377100044e-15,9.60846390108723e-14,23.9290691399062
"AC023090.1",1.22458411083533,0.867778646444672,6.50982058685271,1.05613065023909e-09,2.25691109333371e-08,10.751285054519
"SNHG7",1.18161151023307,3.04982611473634,8.62881223164454,8.13434175627632e-15,4.12384256845216e-13,22.3894570126752
