"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"BMPER",-2.16019986419948,0.46119553340259,-40.804554723582,2.0473995710596e-147,3.46440481418995e-143,325.239637418014,"DOWN"
"CLEC4M",-4.03626849463939,0.728883495516937,-38.8813920813927,1.65188370397273e-140,1.39757620774613e-136,309.559453472679,"DOWN"
"STAB2",-2.69950288992381,0.602297620512392,-37.6219731675225,7.04330410347006e-136,3.97265829116056e-132,299.038859288923,"DOWN"
"CLEC1B",-2.92847089652278,0.543047909533869,-36.9107214369107,3.16388747895418e-133,1.33840350078459e-129,293.00821129497,"DOWN"
"BMP10",-2.36679170781123,0.439925622804726,-36.4927867617639,1.17923582860869e-131,3.99076989117752e-128,289.434393463824,"DOWN"
"GDF2",-4.39763705860373,0.972235313769144,-31.0136428390362,3.54415789668262e-110,9.99511596162777e-107,240.51346298768,"DOWN"
"NTF3",-2.18595707285763,0.75821014190878,-28.7228624045818,1.00048993659247e-100,2.41847003101159e-97,218.950202037447,"DOWN"
"CCBE1",-2.00643831957357,0.558042648870381,-27.7099820544626,1.82489222743957e-96,3.85987517256313e-93,209.221882278016,"DOWN"
"VIPR1",-2.69856899518635,1.11354773900218,-25.813127431627,2.31658374430023e-88,4.35543483747824e-85,190.711440913947,"DOWN"
"NDST3",-0.643683678210532,0.124058598631944,-25.7011584940713,7.044711104702e-88,1.19203556602662e-84,189.607782761966,"DOWN"
"HHIP",-2.03854613195014,0.519563332028463,-25.193588943448,1.10518619624502e-85,1.700077784242e-82,184.590595747969,"DOWN"
"PVALB",-1.96398377526787,0.539401294304588,-25.038381154792,5.20852487089659e-85,7.34445411170344e-82,183.051916407144,"DOWN"
"PHACTR3",-0.326901722862824,0.0948750167264564,-25.004712993165,7.29253972184139e-85,9.49208189486755e-82,182.717871640571,"NOT"
"COLEC10",-4.09690680786976,1.62572716303768,-24.4412430800845,2.064956050432e-82,2.47496077396438e-79,177.113529377256,"DOWN"
"ADAMTS13",-2.52479925041917,2.11862705211399,-24.43520747147,2.19398449320168e-82,2.47496077396438e-79,177.053361921828,"DOWN"
"FCN2",-5.53118890528823,2.12592577333506,-24.2199057999187,1.90978217076146e-81,2.01971400696592e-78,174.905259158375,"DOWN"
"CRHBP",-4.82184565726099,1.92972953830262,-24.1978851490444,2.38332223283535e-81,2.37224679422394e-78,174.685358964396,"DOWN"
"MARCO",-5.26264655965402,1.94496363206265,-24.1249532144672,4.96477555327197e-81,4.66716484093973e-78,173.95679875273,"DOWN"
"CFP",-0.731112251527144,0.277129271985209,-23.8571570705314,7.37183996814281e-80,6.56520547899708e-77,171.278334418287,"DOWN"
"DACH1",-1.00630189462055,0.404741356964676,-23.7986996091857,1.32930767731117e-79,1.12466076038912e-76,170.692979747679,"DOWN"
"CHRM2",-0.541944976719925,0.110446597916515,-23.5573358576706,1.52004662718881e-78,1.22479566565057e-75,168.273675048289,"DOWN"
"GPM6A",-1.89991209074196,0.653740875146619,-23.4477237559984,4.60226496219087e-78,3.53976933751053e-75,167.173718035749,"DOWN"
"LRAT",-1.75333300882418,0.82192016802938,-23.1232504471765,1.22748274117915e-76,9.03053715804016e-74,163.913246504284,"DOWN"
"CCL23",-2.03663060614233,1.15584213592232,-22.9520053695212,6.96124085471274e-76,4.90796485427476e-73,162.189981336599,"DOWN"
"RD3L",-0.508238135495086,0.0771845184990695,-22.792220468445,3.51997467541986e-75,2.38245965931118e-72,160.580571832625,"DOWN"
"ANGPTL6",-2.80321817877539,1.9777397087461,-21.9511351223451,1.82042540791425e-71,1.18474685874296e-68,152.088290126918,"DOWN"
"GPR182",-2.01986011125505,0.739595006774563,-21.7940001086307,9.0229072854888e-71,5.65468941399096e-68,150.498441005194,"DOWN"
"PTH1R",-3.12188697466909,1.93289935104359,-21.772787669507,1.1200036796875e-70,6.76842223714007e-68,150.283752272529,"DOWN"
"COL6A6",-0.571663209865828,0.143728038395167,-21.6129618582151,5.71095285948221e-70,3.3322425288034e-67,148.665692466318,"DOWN"
"NXF3",-0.779910177539619,0.237785579291112,-21.0503705449669,1.77606828831015e-67,1.0017617168832e-64,142.964363085639,"DOWN"
"FCN3",-4.85974849025167,2.88382418602534,-20.882846941223,9.82374655165716e-67,5.36218114195454e-64,141.265337528589,"DOWN"
"ECM1",-3.14560489874649,2.84833168248165,-20.8594987688632,1.24686687866725e-66,6.59319826685265e-64,141.028503999148,"DOWN"
"LIFR",-2.59320252128859,1.77225147206517,-20.8468702207838,1.41848806998156e-66,7.27340504004789e-64,140.90040225465,"DOWN"
"CXCL14",-4.50680852389117,1.76928521991378,-20.6765112833563,8.08019980077231e-66,4.02132531849613e-63,139.172107006718,"DOWN"
"TMEM26",-0.738898067045961,0.398294315456097,-20.3901015085489,1.50654091457492e-64,7.28347966157776e-62,136.265855497618,"DOWN"
"KCNN2",-2.21972379054872,0.720462198331751,-19.9146213767153,1.93804331747125e-62,9.10934193748083e-60,131.440730973442,"DOWN"
"PLVAP",2.7426948317509,6.33329116407929,19.8822297991135,2.69800628861583e-62,1.23386390296401e-59,131.112063843732,"UP"
"LYVE1",-2.99884811550018,1.93645379883566,-19.7237646627328,1.36104761647503e-61,6.06060176799314e-59,129.504327974834,"DOWN"
"RSPO3",-1.71746137647311,0.51357696912366,-19.5932164420687,5.16142652841887e-61,2.23939739198399e-58,128.180081833393,"DOWN"
"ST8SIA6",-0.768860034280825,0.299831956592725,-19.4473590275346,2.28767649348134e-60,9.67744348654944e-58,126.700894216999,"DOWN"
"COL25A1",-0.673568947415843,0.229403312688406,-19.1924759737209,3.08212989810889e-59,1.27201756111953e-56,124.117183905179,"DOWN"
"LRRN3",-0.825862633971999,0.302224449363243,-18.9188671022048,5.01610646537231e-58,2.02089375001345e-55,121.34573681132,"DOWN"
"OIT3",-3.22993391339551,3.71262557254842,-18.798300315092,1.71339867494751e-57,6.74242301832252e-55,120.125325041067,"DOWN"
"BCO2",-2.81517104353357,1.55060044124019,-18.5011763255406,3.52732534110136e-56,1.35649709310855e-53,117.120372531492,"DOWN"
"DBH",-3.10313739734404,2.18285922663493,-18.1891029970522,8.41501862945026e-55,3.16423400508729e-52,113.968977695638,"DOWN"
"BMP5",-1.35293043390852,0.514845170146079,-18.0963865674018,2.15710371010107e-54,7.93485910404787e-52,113.033783623001,"DOWN"
"KIF19",-0.692189990309751,0.297622808783247,-18.0608818980963,3.09286241750894e-54,1.11349627588657e-51,112.675804103427,"DOWN"
"NUDT10",-0.918727205654459,0.260086717077223,-18.0491227690766,3.48483445817971e-54,1.22847674722623e-51,112.557259246228,"DOWN"
"TIMD4",-2.53656118725849,1.09645635566283,-17.8052030532019,4.13243989014004e-53,1.42704113022571e-50,110.100381239697,"DOWN"
"ADRA1A",-3.01785378967435,1.61420122170084,-17.7793911580018,5.36728555174079e-53,1.81639677642012e-50,109.840636885867,"DOWN"
"C14orf180",-1.08612785016267,0.265706765104414,-17.678166847902,1.49567859636417e-52,4.9624269664859e-50,108.822501013802,"DOWN"
"C21orf91",-1.32137053562565,1.80777580618346,-17.2997003687905,6.85137406981319e-51,2.22946347375594e-48,105.023148389643,"DOWN"
"PZP",-3.55221153083682,1.28030272938873,-17.2949388949258,7.18852284326435e-51,2.295037642092e-48,104.975428045946,"DOWN"
"AMHR2",-0.641108739152021,0.168737735126509,-17.2698592439961,9.25782747029094e-51,2.90095738194061e-48,104.724109652711,"DOWN"
"ADGRG7",-2.47834456812853,1.58498797912122,-17.2224120792185,1.49381753887874e-50,4.59579755915766e-48,104.248810321816,"DOWN"
"CETP",-2.63760681387721,2.31355170623709,-17.2145322886476,1.61732463223095e-50,4.88691966106784e-48,104.169895404046,"DOWN"
"SFRP1",-1.74929062833663,0.752672212768185,-17.1992272640024,1.88711808501782e-50,5.60209212571693e-48,104.016634682143,"DOWN"
"SIGLEC7",-1.39669329853318,1.08554555040619,-17.1655336540149,2.65013453826429e-50,7.73153905551207e-48,103.679313975356,"DOWN"
"C21orf62",-0.306985273089631,0.100925243965753,-17.0783327804138,6.37828707718683e-50,1.82927111242506e-47,102.806821804343,"NOT"
"CYP26A1",-2.20721803146289,0.745599927836094,-17.0505752207344,8.43438862472106e-50,2.37863816531509e-47,102.52925030165,"DOWN"
"DIRAS3",-2.4405578582958,1.26130408295954,-17.0312720749251,1.02428939964978e-49,2.84131162811047e-47,102.336267445532,"DOWN"
"FAM180A",-2.46548817750503,1.19143271320869,-17.0252465181344,1.08831719414608e-49,2.97022826486222e-47,102.276034788063,"DOWN"
"AADAT",-2.98259131130049,2.75298845006556,-17.0111094156581,1.25467430820912e-49,3.36989586812802e-47,102.134732042051,"DOWN"
"LRRC55",-0.749339830904119,0.268131224360021,-16.9966041802257,1.45179729864427e-49,3.83841595161869e-47,101.989771010551,"DOWN"
"NPY1R",-2.14832517532588,1.29827633711564,-16.9373782049877,2.6337421260643e-49,6.85623854078985e-47,101.398110138625,"DOWN"
"CPEB3",-2.11045801905241,2.17505392376369,-16.8275000455204,7.94396622065608e-49,2.03666443060184e-46,100.301423452947,"DOWN"
"CSRNP1",-2.09814898579797,4.58688532085346,-16.808587019412,9.6052634304121e-49,2.42583078367169e-46,100.11278575677,"DOWN"
"ADRA2B",-1.57586576692237,1.31967681128172,-16.782983762394,1.24201647780221e-48,3.09061188542518e-46,99.8574829018329,"DOWN"
"EHD3",-1.81436777911487,2.03030431896104,-16.743843519755,1.83949802695569e-48,4.51103566871265e-46,99.467337286364,"DOWN"
"LILRA2",-0.876064714797956,0.636544002774543,-16.7136985767222,2.48896765486543e-48,6.01654595542541e-46,99.1669735851447,"DOWN"
"RIPOR3",-1.76004813682632,0.969480550421645,-16.5482176436326,1.3064473884051e-47,3.11357693791588e-45,97.520000555075,"DOWN"
"PITPNM3",-1.00694895524488,0.359612171523487,-16.4006393026669,5.7156086902779e-47,1.34324742566934e-44,96.0539907741923,"DOWN"
"MRO",-1.55995977560338,1.0605211405406,-16.3838136875891,6.76185528816774e-47,1.56736100453543e-44,95.8870219331321,"DOWN"
"ITLN1",-2.03177004393995,0.776188048877841,-16.0651661616325,1.6202624597071e-45,3.70492717306808e-43,92.7319721686736,"DOWN"
"UBE2T",2.35363227861337,3.32548765221945,16.0300011721039,2.29856971458865e-45,5.18587975207395e-43,92.3846430713948,"UP"
"RCAN1",-2.3155658994719,4.1867969312751,-16.0127551071372,2.72843197825048e-45,6.07471019789163e-43,92.214365839172,"DOWN"
"SIGLEC11",-0.959132770246148,0.528370200887787,-16.0110346621091,2.77549023695737e-45,6.09922990903319e-43,92.197381539874,"DOWN"
"LRRC4",-0.740504128428042,0.549242491203483,-15.9921148568387,3.34963858143889e-45,7.26656851750352e-43,92.0106325612406,"DOWN"
"PAMR1",-1.90000722558343,1.60080408138457,-15.9857393134809,3.56869896111759e-45,7.641691033905e-43,91.9477140315245,"DOWN"
"P2RY12",-0.88709588280545,0.415442454703557,-15.9845009532032,3.6128791602884e-45,7.641691033905e-43,91.9354936669204,"DOWN"
"TUBE1",-1.63849496910996,2.24205943043504,-15.9187869702658,6.93858984395453e-45,1.4494799845624e-42,91.287336379308,"DOWN"
"PLAC8",-2.04044696424945,1.13948182345214,-15.8973911899873,8.58005613605614e-45,1.77052597412446e-42,91.0764400663571,"DOWN"
"CNDP1",-3.1854273468525,1.43792303431012,-15.8600666280647,1.24249384638353e-44,2.53304076803082e-42,90.7086981135368,"DOWN"
"MT1H",-5.65307417206332,3.08244578298619,-15.5640360256369,2.3248924874664e-43,4.65172974183672e-41,87.7996398890315,"DOWN"
"EFNB3",-1.142728939304,0.660448459227926,-15.5635218055693,2.33672376370263e-43,4.65172974183672e-41,87.7945988288546,"DOWN"
"GLP2R",-0.678847415776356,0.260750088526562,-15.5238024160313,3.45804835375538e-43,6.80391118533661e-41,87.4053483177237,"DOWN"
"TBXA2R",-1.57708245515113,1.98257793826237,-15.5169032088722,3.70158134490109e-43,7.19936298127256e-41,87.3377625012722,"DOWN"
"CAMK4",-0.503175677922084,0.341070645354351,-15.4923832993799,4.71414806495507e-43,9.06455675080736e-41,87.0976251561104,"DOWN"
"ST6GAL2",-1.01433794682446,0.44018320872427,-15.4610094953047,6.42259661199212e-43,1.22108716035414e-40,86.7905100252011,"DOWN"
"ESR1",-2.19445692301454,1.24037280699034,-15.4592502377101,6.53491149586836e-43,1.22863597135098e-40,86.7732937111563,"DOWN"
"AC007906.2",-1.21301178356438,0.712588718846899,-15.4194472857477,9.67216373284686e-43,1.79849101674178e-40,86.3839167256817,"DOWN"
"S100A12",-1.68657807588165,0.845043671843385,-15.3243591998533,2.46521815784367e-42,4.53412570096442e-40,85.4548029635006,"DOWN"
"LILRA1",-0.691935665137158,0.559357601408176,-15.2790955944869,3.84626350307256e-42,6.99813169198826e-40,85.0130803990669,"DOWN"
"DCUN1D3",-1.0049369487126,2.2761412973361,-15.2766091302029,3.94136534623793e-42,7.09487691741404e-40,84.9888257150917,"DOWN"
"HAMP",-5.53972095268103,3.43866345985349,-15.2715221741456,4.1433059962406e-42,7.37988218551445e-40,84.9392074508907,"DOWN"
"DIPK2B",1.34830410499424,2.04834507786161,15.2560941215546,4.82113265745985e-42,8.49774851009146e-40,84.7887499805023,"UP"
"RBMS3",-0.691461120557309,0.62733033779134,-15.2399669671162,5.64824384263079e-42,9.85298289290263e-40,84.6315199628736,"DOWN"
"PTGS2",-1.1892630205806,0.585988785706687,-15.2338546234018,5.99750424843066e-42,1.03554866722138e-39,84.5719404258621,"DOWN"
"FPR2",-0.719345474766763,0.269187608477188,-15.1871190113023,9.48660363824801e-42,1.62144262790702e-39,84.1166107469338,"DOWN"
"SPSB4",-0.470980991523051,0.146641338702044,-15.160500994854,1.23155587866251e-41,2.08391570228483e-39,83.8574566072295,"NOT"
"TSLP",-1.75998184987729,1.05079803102882,-15.1351208648281,1.57933650059754e-41,2.64593593332782e-39,83.6104748668369,"DOWN"
"SLC26A6",1.81250821573003,2.96550034283972,15.1108463396974,2.0032820713846e-41,3.32328783626459e-39,83.3743626954698,"UP"
"HGF",-2.19248193723217,1.41888062960187,-15.0873453491235,2.52158861683143e-41,4.14250495003928e-39,83.1458781721996,"DOWN"
"DNASE1L3",-3.30304921464844,3.52666613020937,-15.0771393776678,2.78649887586107e-41,4.5336872575428e-39,83.0466842146713,"DOWN"
"FOSB",-3.58810788639219,2.68390392585426,-15.0518966878587,3.56719888029175e-41,5.74862592889682e-39,82.8014287301752,"DOWN"
"ZFP1",-1.55948737918622,2.51226535078256,-15.0464335489355,3.7630163408361e-41,6.00698108521582e-39,82.7483651131695,"DOWN"
"TOMM40L",1.44816242354767,3.6567208588386,15.011271203834,5.3070935444045e-41,8.3926476509223e-39,82.4069667673613,"UP"
"RND3",-2.33248266630799,4.53905796232,-15.0046710954078,5.66074519868244e-41,8.8690249543431e-39,82.342911026754,"DOWN"
"PDZRN4",-0.509722241850495,0.18671974565558,-14.9183930531724,1.31457992655039e-40,2.04073458139075e-38,81.5063262473935,"DOWN"
"EGR2",-1.92945864360507,1.52535763206465,-14.9086182208753,1.44611921031499e-40,2.22452574161272e-38,81.4116362452874,"DOWN"
"MT1F",-4.53327029896371,3.69457916326468,-14.811501917259,3.72614804607919e-40,5.68019379168523e-38,80.47187562984,"DOWN"
"KBTBD11",-2.1874424889966,1.44228959208558,-14.727506010576,8.43590830188024e-40,1.27450003907246e-37,79.6605907163759,"DOWN"
"SLITRK6",-0.534127920963637,0.137443863723911,-14.684017734096,1.28713059816281e-39,1.9273926417268e-37,79.2411159231029,"DOWN"
"LILRB5",-1.57708014476845,1.65035439684637,-14.6826838533158,1.30391129276059e-39,1.93539324428088e-37,79.2282558377566,"DOWN"
"CDH19",-1.18035320161863,0.548741152968319,-14.5628965070228,4.16663096574511e-39,6.13074457142374e-37,78.0748800576123,"DOWN"
"FRMD4B",-1.20109955507717,2.42052670261155,-14.5605739951631,4.26142194054864e-39,6.21616557379514e-37,78.0525474329185,"DOWN"
"VPS45",0.928313705705632,3.43218242357088,14.5589098709389,4.33066180725081e-39,6.26317337098214e-37,78.0365463824005,"UP"
"GNA14",-1.51308103747,1.51749208083486,-14.5224465886877,6.16402942713399e-39,8.83911372343511e-37,77.6860887953067,"DOWN"
"SYNE1",-0.875209181791591,1.20703712344018,-14.5150975648296,6.61833943748703e-39,9.4108337497242e-37,77.6154898576222,"DOWN"
"CLTRN",-2.69779615478974,2.0178130133296,-14.4858588627837,8.78164008044775e-39,1.23828443167714e-36,77.3347208799092,"DOWN"
"DSE",-0.827431546485781,0.897786690788133,-14.4788487081646,9.39749924279719e-39,1.31417425361464e-36,77.2674321836464,"DOWN"
"CBFA2T3",-1.43233855924183,1.17732464402233,-14.4727165099147,9.97145559063716e-39,1.37859289895922e-36,77.2085794724923,"DOWN"
"TBX20",-0.302247333237027,0.0864932264423221,-14.472202825658,1.002109370439e-38,1.37859289895922e-36,77.20364984589,"NOT"
"FAM189B",1.39931740830289,3.9181486104254,14.4704605503179,1.01912958657206e-38,1.39070094632143e-36,77.1869303371654,"UP"
"LILRA5",-1.59912796563299,1.37148304195728,-14.4569732756494,1.16102372743198e-38,1.57165459935013e-36,77.0575237889982,"DOWN"
"ITGA9",-1.70683487511481,1.96693975104374,-14.4242571158075,1.59255262187727e-38,2.138697056729e-36,76.7437859529342,"DOWN"
"CDKN3",2.49964407616982,3.03272401737226,14.4051696625122,1.91480320859086e-38,2.55121142461149e-36,76.5608512660171,"UP"
"CD34",1.64909296025648,3.38976376186474,14.3827135413286,2.37812507232775e-38,3.14376987100452e-36,76.3457337334127,"UP"
"CCT3",1.29398172739644,7.68397425401625,14.3792071822515,2.45994304431386e-38,3.22672063975464e-36,76.3121547473875,"UP"
"CXCL12",-3.09383807278739,3.94560490445661,-14.1674005866885,1.88849731628806e-37,2.45809716068541e-35,74.2888936044932,"DOWN"
"CDC37L1",-1.47599700655877,4.19985355378738,-14.1246524820032,2.84600428854889e-37,3.67612508141494e-35,73.8817940182636,"DOWN"
"PRKAR2B",-1.33747605487924,0.878948054894141,-14.0940429967302,3.8164857897723e-37,4.89233000369221e-35,73.5905561800053,"DOWN"
"MXD3",1.60290687793485,2.21134246799253,13.9891782503811,1.04110482114658e-36,1.32455147959559e-34,72.5944936499204,"UP"
"SCAMP3",1.25933909541754,6.61705286032876,13.9883436852565,1.04944207550453e-36,1.32519472832926e-34,72.5865770738826,"UP"
"CHST4",-2.82628168951149,1.11683856484931,-13.9772099435608,1.16725080231008e-36,1.46304080191769e-34,72.4809799691973,"DOWN"
"HMGCLL1",-0.407495404266861,0.137968903357293,-13.9762129029523,1.17842333033092e-36,1.46618390974481e-34,72.4715250797381,"NOT"
"LRRC4C",-0.444705068004795,0.255678900060642,-13.9745874780137,1.19686646452442e-36,1.47826112746115e-34,72.4561117677014,"NOT"
"TLR4",-1.14181884797109,1.56125927175038,-13.96830993921,1.27083881809655e-36,1.55825098847911e-34,72.3965901729895,"DOWN"
"CCNB1",2.46385246757395,3.88034153875792,13.9609504264968,1.36338652852214e-36,1.65970240641174e-34,72.3268218369384,"UP"
"PLSCR4",-1.92205938257243,3.49052765452902,-13.9060143859634,2.30315897977399e-36,2.78369664976827e-34,71.8064446393818,"DOWN"
"LHX2",-1.33037021830599,0.826964610355374,-13.9047947833078,2.33010480773667e-36,2.79629102494412e-34,71.7949004487105,"DOWN"
"CDCA5",2.08736705958458,2.63231138135137,13.8823132109312,2.88712051738398e-36,3.44034973765171e-34,71.5821660608416,"UP"
"CYP1A2",-5.83582103126669,3.55022638506241,-13.8699125731212,3.24929609370063e-36,3.84484889521037e-34,71.46487712177,"DOWN"
"PRAM1",-0.954789662606316,0.943466279308187,-13.8614929697759,3.52068711112008e-36,4.13705184772659e-34,71.3852637383684,"DOWN"
"CD5L",-3.86367868154936,2.80736461611414,-13.8232129760465,5.06902683759458e-36,5.91537952544399e-34,71.023521638983,"DOWN"
"KDM8",-2.63067180815929,3.23728831412012,-13.8091928632818,5.79244377911615e-36,6.71328364290578e-34,70.8911247189564,"DOWN"
"IL1RAP",-1.94920762570572,2.88613464211942,-13.806830022806,5.92412250674478e-36,6.81918890725363e-34,70.8688164368102,"DOWN"
"THY1",2.01366284467345,3.35650841065197,13.7813351771177,7.54951360433001e-36,8.63144052019379e-34,70.628201469937,"UP"
"ASPA",-1.48880446253239,1.19124258442438,-13.7539049224792,9.79779726375153e-36,1.11267468120765e-33,70.3695041566717,"DOWN"
"INMT",-2.70655193236381,2.53461194429219,-13.7392683348788,1.12590729882522e-35,1.27009849356144e-33,70.2315433836091,"DOWN"
"KLRF1",-0.974171953855996,0.780803194874881,-13.7367822760977,1.15280274710073e-35,1.29182617772791e-33,70.2081158503085,"DOWN"
"EGR3",-1.05087072226601,0.696727894678995,-13.7233709345527,1.30933548818479e-35,1.45758327602466e-33,70.0817604652457,"DOWN"
"AURKA",2.06243959531515,3.58370484397621,13.7164323603461,1.39846444835763e-35,1.54662855755944e-33,70.0164065394683,"UP"
"IL13RA2",-2.17178312174572,1.03658459507404,-13.7139805621413,1.43138468354902e-35,1.57275715781383e-33,69.9933161823655,"DOWN"
"MT1M",-4.95687301404687,3.97822534270898,-13.7130038787641,1.44471280426448e-35,1.57716034586834e-33,69.9841184781981,"DOWN"
"RACGAP1",1.68040979740688,2.85399034503141,13.6997934625427,1.63762559246914e-35,1.77629888783143e-33,69.859736320162,"UP"
"CYP2C19",-2.58428097293476,1.55188284804117,-13.6933427691786,1.74095477952232e-35,1.876350052503e-33,69.7990163849154,"DOWN"
"COL15A1",2.27419195807161,2.71465569377283,13.6667972045924,2.23918678007716e-35,2.39805566491681e-33,69.5492578572549,"UP"
"IQGAP3",2.08622358314855,2.38465696654842,13.6607790260484,2.37060732458441e-35,2.52283311567879e-33,69.492660150593,"UP"
"E2F1",2.63946094279275,3.52595828316481,13.6464017155652,2.71654346056768e-35,2.87291449351661e-33,69.3574874197922,"UP"
"EZH2",1.58556685790036,2.60039605232156,13.6456766597116,2.73526475252643e-35,2.87474626568322e-33,69.3506720070984,"UP"
"SPRY2",-1.43473421606828,3.3456388104423,-13.6355881051912,3.00950621126157e-35,3.14344781486155e-33,69.2558553714224,"DOWN"
"SPATS2",1.13197991378777,2.66534351201763,13.6291439620274,3.19885899171395e-35,3.32072963182772e-33,69.1953044012075,"UP"
"UBE2C",3.01943908074538,3.97180532843299,13.6279745967136,3.23447133357402e-35,3.33722496557353e-33,69.1843178807406,"UP"
"MYOM2",-1.15218164648549,0.715594960103533,-13.6218132434626,3.42874429070404e-35,3.51622922078806e-33,69.1264361157176,"DOWN"
"KIFC1",2.43917434906009,3.06990521609246,13.5933799226572,4.48725301263931e-35,4.57402459198011e-33,68.8594531388695,"UP"
"SLC5A1",-1.77313751070254,0.631601410698604,-13.5895206414065,4.6540717561679e-35,4.68978373857148e-33,68.8232316686505,"DOWN"
"NAT2",-3.71037626215755,3.19275128151453,-13.5894712191251,4.65624766905034e-35,4.68978373857148e-33,68.8227678388921,"DOWN"
"EPHB1",-0.733029576664792,0.424166706837767,-13.5812071843078,5.03472781484899e-35,5.0409839855065e-33,68.7452186543592,"DOWN"
"BIRC5",2.64019333693602,3.23635195653784,13.5440099297438,7.15561681230221e-35,7.12236424005681e-33,68.3963856075257,"UP"
"SPC24",2.21067542791305,2.86675750147123,13.5398932622307,7.4393277986429e-35,7.36145413338225e-33,68.3578023828271,"UP"
"CCNB2",2.27703117122428,2.72651935214898,13.5368483255342,7.65636830951394e-35,7.53217489333054e-33,68.3292667955123,"UP"
"SYT9",-1.73074202935028,0.625222952046754,-13.5036020823795,1.04789220574789e-34,1.02493549210752e-32,68.0178611169006,"DOWN"
"NAAA",-1.68450270075779,3.4995560964575,-13.4707795068456,1.42806764252942e-34,1.38875474593335e-32,67.7107147024384,"DOWN"
"CDK1",2.21519746640495,2.79003853366012,13.4553437395021,1.65168146430406e-34,1.59703440328509e-32,67.5663706997531,"UP"
"TOP2A",2.70143387491876,3.37628546352151,13.4519206668801,1.70581898167455e-34,1.64000926073381e-32,67.5343693698558,"UP"
"MSTO1",1.22923925448846,2.70808818481598,13.4170344297223,2.36921110260918e-34,2.26493904334745e-32,67.2084095178692,"UP"
"TPPP2",-1.66836242296213,1.19421368859943,-13.3936898758436,2.95116922439078e-34,2.79249298063106e-32,66.9904750133128,"DOWN"
"PSMB4",1.02615863418682,8.38861138971217,13.3935858362874,2.95405852805957e-34,2.79249298063106e-32,66.9895040800014,"UP"
"PTTG1",2.61256468271088,3.67076111812887,13.3778459666317,3.4253018955823e-34,3.21997407639711e-32,66.8426484092486,"UP"
"MELK",1.98999261815504,2.20102546262468,13.3599591805223,4.05238631858923e-34,3.78842148601372e-32,66.6758444763541,"UP"
"CDC20",2.90398062645327,3.62542659045729,13.293866825568,7.53638095679177e-34,7.00676385548756e-32,66.0602672318348,"UP"
"HMGXB3",0.788020903329497,3.79639960699136,13.2623969482009,1.01222816043644e-33,9.35951513811204e-32,65.7675891964113,"UP"
"NEK2",2.1165373567397,2.33826841131669,13.2606090465576,1.02932725392574e-33,9.46589481721603e-32,65.7509696129865,"UP"
"P2RY13",-1.37791804991882,1.40068690642525,-13.2593818057283,1.04123066353027e-33,9.52360219329493e-32,65.7395622190762,"DOWN"
"RASGEF1B",-1.71416770906102,2.40885538665649,-13.245519726859,1.18559733468786e-33,1.07857486560501e-31,65.6107415781849,"DOWN"
"TBC1D16",1.35505122863419,3.1669350688711,13.2417320784588,1.22840374528835e-33,1.11154116438632e-31,65.5755523189669,"UP"
"NDC80",1.83298180180268,2.23772960101254,13.1968858844089,1.868927794186e-33,1.68213442582028e-31,65.1592170684863,"UP"
"TTC36",-3.48306784340057,2.53967523093469,-13.1890742727007,2.01054205061678e-33,1.80002021367654e-31,65.0867556139453,"DOWN"
"FCGR2B",-1.86541118641087,1.24971918307871,-13.184947421508,2.08962356612453e-33,1.86097475591543e-31,65.0484814913106,"DOWN"
"SLC8A1",-0.445649664472848,0.439639649042566,-13.1806651328684,2.17496270585936e-33,1.92683476156263e-31,65.0087709345384,"NOT"
"TMIGD3",-1.34955598810183,1.01063464290425,-13.1685914298573,2.43473850184961e-33,2.14574011405194e-31,64.8968372843646,"DOWN"
"KLHL15",-1.20821631823153,2.51247779721046,-13.1506597023065,2.87868515810078e-33,2.52384619483022e-31,64.7306720250238,"DOWN"
"IL1RL1",-1.26367607268868,0.49651433307436,-13.1433605962223,3.08171409393805e-33,2.6879218651302e-31,64.6630610260224,"DOWN"
"TCF21",-0.633436907725343,0.461336015898301,-13.1176715627573,3.91660616019544e-33,3.39860988905985e-31,64.4252282169042,"DOWN"
"TRIB1",-1.79349146613935,5.82953201179659,-13.1157025002522,3.98921204803138e-33,3.44395189105811e-31,64.4070062421128,"DOWN"
"GSTZ1",-2.1777984306401,3.52958951100148,-13.0863448242999,5.24524608094742e-33,4.50532025054372e-31,64.135460062423,"DOWN"
"CEP131",1.31488554964158,3.01970850669693,13.0842868321409,5.34681680330667e-33,4.56936803680566e-31,64.1164339246544,"UP"
"CDCA8",2.01890703116042,2.74404883796982,13.0671266170315,6.27376436295742e-33,5.33459129575892e-31,63.9578359689441,"UP"
"GNAO1",-1.87167126615065,1.22667295565602,-13.0499722121429,7.3603860581532e-33,6.21789771999274e-31,63.7993780156311,"DOWN"
"LPA",-2.71157528198028,3.0058505806546,-13.04956501655,7.3883394759642e-33,6.21789771999274e-31,63.79561773632,"DOWN"
"FOS",-3.15975555035216,5.21718241309825,-13.0490648537062,7.42281980638575e-33,6.21789771999274e-31,63.7909990104841,"DOWN"
"RRM2",1.9909586012966,2.66425069633851,13.0400001509274,8.07626470585198e-33,6.69963723909822e-31,63.707304283596,"UP"
"SMG5",1.31865786457993,5.87960965218951,13.0399890453396,8.07709944315369e-33,6.69963723909822e-31,63.7072017601526,"UP"
